dataset,tier,task,n_samples_orig,n_samples_used,subsampled,n_features,n_classes,source
Bioresponse,balanced,classification,2000,2000,False,1776,2,OpenML
Fashion-MNIST,balanced,classification,70000,6000,True,784,10,OpenML
MagicTelescope,balanced,classification,19020,6000,True,10,2,OpenML
adult,balanced,classification,48842,6000,True,105,2,OpenML
arcene,balanced,classification,200,200,False,10000,2,OpenML
bank-marketing,balanced,classification,45211,6000,True,51,2,OpenML
breast_cancer,balanced,classification,569,569,False,30,2,sklearn
california_housing,balanced,regression,20640,6000,True,13,regression,OpenML
cnae-9,balanced,classification,1080,1080,False,856,9,OpenML
covertype,balanced,classification,110393,6000,True,54,7,OpenML
cpu_act,balanced,regression,8192,6000,True,21,regression,OpenML
diabetes,balanced,regression,442,442,False,10,regression,sklearn
digits,balanced,classification,1797,1797,False,64,10,sklearn
eeg-eye-state,balanced,classification,14980,6000,True,14,2,OpenML
electricity,balanced,classification,45312,6000,True,8,2,OpenML
elevators,balanced,regression,16599,6000,True,18,regression,OpenML
gas-drift,balanced,classification,13910,6000,True,128,6,OpenML
gisette,balanced,classification,2000,2000,False,5000,2,OpenML
har,balanced,classification,10299,6000,True,561,6,OpenML
house_16H,balanced,regression,22784,6000,True,16,regression,OpenML
ionosphere,balanced,classification,351,351,False,34,2,OpenML
isolet,balanced,classification,7797,6000,True,617,26,OpenML
madelon,balanced,classification,2600,2600,False,500,2,OpenML
mfeat-pixel,balanced,classification,2000,2000,False,240,10,OpenML
mnist_784,balanced,classification,70000,6000,True,784,10,OpenML
nomao,balanced,classification,34465,6000,True,118,2,OpenML
ozone-level-8hr,balanced,classification,2534,2534,False,72,2,OpenML
phoneme,balanced,classification,5404,5404,False,5,2,OpenML
pol,balanced,regression,15000,6000,True,48,regression,OpenML
semeion,balanced,classification,1593,1593,False,256,10,OpenML
sonar,balanced,classification,208,208,False,60,2,OpenML
spambase,balanced,classification,4601,4601,False,57,2,OpenML
splice,balanced,classification,3190,3190,False,287,3,OpenML
superconduct,balanced,regression,21263,6000,True,81,regression,OpenML
synth_clf_highdim,balanced,classification,400,400,False,500,2,synthetic
synth_reg_highdim,balanced,regression,400,400,False,200,regression,synthetic
wine,balanced,classification,178,178,False,13,3,sklearn
gas_drift_diffconc,noisy,classification,13910,6000,True,129,6,OpenML
hill_valley,noisy,classification,1212,1212,False,100,2,OpenML
musk,noisy,classification,6598,6000,True,268,2,OpenML
plants_margin,noisy,classification,1600,1600,False,64,100,OpenML
plants_shape,noisy,classification,1600,1600,False,64,100,OpenML
plants_texture,noisy,classification,1599,1599,False,64,100,OpenML
waveform_5000,noisy,classification,5000,5000,False,40,3,OpenML
11_Tumors,high_dim,classification,174,174,False,12533,11,OpenML
AP_Breast_Kidney,high_dim,classification,604,604,False,10935,2,OpenML
AP_Colon_Kidney,high_dim,classification,546,546,False,10935,2,OpenML
AP_Endometrium_Breast,high_dim,classification,405,405,False,10935,2,OpenML
DLBCL,high_dim,classification,77,77,False,5469,2,OpenML
GCM,high_dim,classification,190,190,False,16063,14,OpenML
OVA_Breast,high_dim,classification,1545,1545,False,10935,2,OpenML
OVA_Kidney,high_dim,classification,1545,1545,False,10935,2,OpenML
OVA_Lung,high_dim,classification,1545,1545,False,10935,2,OpenML
SRBCT,high_dim,classification,83,83,False,2308,4,OpenML
colon_cancer,high_dim,classification,62,62,False,2000,2,OpenML
gina_agnostic,high_dim,classification,3468,3468,False,970,2,OpenML
leukemia,high_dim,classification,72,72,False,7129,2,OpenML
micro_mass,high_dim,classification,360,360,False,1300,10,OpenML
